hour,cea,ucea
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,2.323379107481768e-13,2.323379107481768e-13
6,1.3885911541949184e-06,2.894589141918693e-06
7,3.0765542449194315e-05,4.3630336871798835e-05
8,0.00015691303845932975,0.00014670134061649646
9,0.0002794279171852106,0.0002462337565523284
10,0.00036177194043558036,0.000318772086901193
11,0.00041325577845805053,0.00036501487382124977
12,0.0004279398705637199,0.0003781880423325621
13,0.0004064853777249403,0.00035851637837161965
14,0.0003509730936691386,0.0003094062889153254
15,0.0002608724502041508,0.00023111411627709305
16,0.00014294221716240925,0.00013083808334188725
17,4.459255677771611e-05,4.445950871048567e-05
18,2.793812951347445e-06,3.879294051196297e-06
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
