hour,cea,ucea
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,2.3294698758053816e-12,2.87561892458024e-12
6,8.393757226941628e-06,2.5067635361762492e-05
7,5.8108096813060213e-05,0.0001477560406621069
8,0.0001614636824801465,0.0002798132829554039
9,0.00026385480575908277,0.00040956964337412756
10,0.00034507156918748205,0.0005116988538115847
11,0.00039940372220551506,0.0005795665634288176
12,0.0004213750184938068,0.0006049665687197384
13,0.0004099486974425894,0.0005871437560117051
14,0.00036687249559375605,0.0005272112083711255
15,0.00029287974876774763,0.0004279326310886066
16,0.00019728681327835668,0.0003004728946602721
17,9.507051394390559e-05,0.00015867748469108636
18,1.847689580688249e-05,3.993338322696433e-05
19,3.8893133667196224e-11,1.1368780281587643e-08
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
