hour,cea,ucea
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,7.102893127451601e-13,7.102893127451601e-13
8,9.2940946343649e-06,1.0201025492757898e-05
9,0.00017727822376131097,0.0001716825583964901
10,0.0002369228528674464,0.0002479647187556197
11,0.0002730062878999355,0.00029894602631746624
12,0.0002820248097065588,0.00031586221586052887
13,0.0002589809573708247,0.00029102416026157866
14,0.00020372157562564147,0.0002277972901893817
15,0.00012432964091226167,0.00013693100251437602
16,3.08825770196605e-05,3.627050167480058e-05
17,6.065085246334072e-07,1.8324665417475054e-06
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
