hour,cea,ucea
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,7.107550762289273e-13,7.107550762289273e-13
8,1.1472880247860455e-05,8.63386000412458e-06
9,0.00021885326792052946,0.00014752911918978885
10,0.00029235464733745706,0.0002110264004536443
11,0.00033711994518898105,0.0002530656196631781
12,0.0003482158067980753,0.0002667094295630817
13,0.00032010435624382,0.00024538434875756533
14,0.00025173425956571363,0.0001919810871313486
15,0.0001535329109686942,0.0001154657459989405
16,3.8158902902782064e-05,3.0316812063565252e-05
17,7.468333996217709e-07,1.4302130188908236e-06
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
