hour,cea,cea_oven
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0013492027342227528,0.0014174818429845764
6,0.009851083075568041,0.01016477827098429
7,0.028303240559954847,0.0289046145473817
8,0.057603909543245166,0.05868393452657829
9,0.08850878072289861,0.08968401456800643
10,0.11448860475173202,0.11560159463667348
11,0.13205678425878173,0.13305943385355487
12,0.13866397150633064,0.13935650860488294
13,0.1329309713355462,0.1332894285042231
14,0.11596564485620689,0.11602281121824168
15,0.0889824289534723,0.08893148508861247
16,0.055608365730959966,0.055391495944131286
17,0.02554569251345095,0.02528965970947094
18,0.006724216718386653,0.006669528273999264
19,0.0004740275177363998,0.0004763056317813743
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
