hour,cea,cea_oven
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,2.5157178350218144e-06,2.6248402973547707e-06
8,5.066148316038576e-05,5.151827291220438e-05
9,0.00011465672041891683,0.00011350051844894933
10,0.00017496759737737702,0.00017278490501225445
11,0.0002159794783772456,0.00021269356682967954
12,0.00023136541819702698,0.00022760913014275197
13,0.00021458765382874358,0.00021066335708522883
14,0.00016793622566249448,0.00016486003136357175
15,0.00010320255687451142,0.00010123700750745499
16,3.748752742985443e-05,3.700531103178592e-05
17,5.1753280561219706e-06,5.127067571047564e-06
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
