hour,cea,cea_oven
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.001409100769689412,0.0014624360020610724
6,0.010214555727435059,0.010434672630968748
7,0.028571522745843587,0.028999158875989944
8,0.05752137573767006,0.05816516814610646
9,0.08839011212346756,0.0891395319671755
10,0.1152564810940617,0.11605285487305454
11,0.1337989006413794,0.13453627488560055
12,0.1406136338236852,0.14119499490819062
13,0.13433599873958915,0.1345050260381713
14,0.11581958751190033,0.11583938297486597
15,0.08744937668725072,0.08722426583247679
16,0.05378218470199067,0.053498601660223986
17,0.024241946163841083,0.0240252164568041
18,0.006300595479880154,0.006271596664736748
19,0.00047160582054730246,0.00047384031534224565
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
