hour,cea,ucea
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,2.323379107481768e-13,2.323379107481768e-13
6,1.388591154194916e-06,2.8945891419186975e-06
7,3.076554244919429e-05,4.363033687179886e-05
8,0.00015691303845932956,0.00014670134061649627
9,0.00027942791718521065,0.0002462337565523286
10,0.00036177194043558015,0.0003187720869011933
11,0.00041325577845805053,0.00036501487382124956
12,0.00042793987056371976,0.0003781880423325614
13,0.00040648537772494057,0.0003585163783716187
14,0.00035097309366913856,0.0003094062889153253
15,0.0002608724502041513,0.000231114116277093
16,0.00014294221716240906,0.00013083808334188733
17,4.459255677771599e-05,4.4459508710485665e-05
18,2.793812951347444e-06,3.879294051196299e-06
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
