hour,cea,ucea
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,2.321856578577783e-13,2.321856578577783e-13
6,1.1255761406493157e-06,3.715685113085036e-06
7,2.4926271886249424e-05,5.483745337814914e-05
8,0.0001271455809973522,0.00017786589681541228
9,0.0002264302393192861,0.00029652963215064077
10,0.00029356333064829254,0.0003836288044154153
11,0.00033563175099646665,0.0004391507354028381
12,0.0003474278393194923,0.00045507090215046714
13,0.00032962022645512736,0.00043156884769469055
14,0.0002845034861243477,0.0003730183666733239
15,0.00021127312616334905,0.000279286730888655
16,0.00011566303270550721,0.00015888581089456896
17,3.6045842742501554e-05,5.4573894198332236e-05
18,2.243918608631155e-06,4.907155185604415e-06
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
