hour,cea,ucea
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,2.329469875805382e-12,2.87561892458024e-12
6,8.393757226941617e-06,2.5067635361762445e-05
7,5.8108096813060186e-05,0.000147756040662107
8,0.00016146368248014624,0.00027981328295540397
9,0.00026385480575908353,0.0004095696433741279
10,0.0003450715691874829,0.0005116988538115841
11,0.00039940372220551495,0.0005795665634288182
12,0.0004213750184938077,0.0006049665687197387
13,0.00040994869744258896,0.0005871437560117053
14,0.0003668724955937567,0.000527211208371125
15,0.00029287974876774807,0.00042793263108860684
16,0.00019728681327835698,0.00030047289466027195
17,9.507051394390551e-05,0.00015867748469108653
18,1.8476895806882497e-05,3.993338322696434e-05
19,3.8893133667196224e-11,1.1368780281587646e-08
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
