hour,cea,ucea
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,7.102893127451601e-13,7.102893127451601e-13
8,9.294094634364907e-06,1.0201025492757886e-05
9,0.00017727822376131086,0.00017168255839649025
10,0.00023692285286744662,0.0002479647187556198
11,0.0002730062878999355,0.00029894602631746597
12,0.00028202480970655877,0.0003158622158605288
13,0.0002589809573708245,0.0002910241602615786
14,0.00020372157562564152,0.00022779729018938136
15,0.00012432964091226164,0.00013693100251437604
16,3.088257701966052e-05,3.6270501674800575e-05
17,6.065085246334076e-07,1.8324665417475069e-06
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
