hour,cea,ucea
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,2.3309973970354184e-12,2.832671141255044e-12
6,1.0357492736848848e-05,1.9616687618579924e-05
7,7.170650816289385e-05,0.00011660273277121176
8,0.00019912067247394833,0.0002265418959976848
9,0.000325032071252552,0.0003349347011092658
10,0.00042440326466264516,0.00042037452090786946
11,0.0004908723575563436,0.0004774068263634594
12,0.0005179783997182138,0.0004986425308357884
13,0.0005045018558984118,0.0004840813632787126
14,0.0004516144529622184,0.0004340586164587122
15,0.00036130275482874603,0.00035122253925042653
16,0.00024375493023150491,0.0002452917036175065
17,0.00011764334726900108,0.00012830710744046544
18,2.2963242535565487e-05,3.162244706288651e-05
19,5.5913229607044335e-11,8.4811620065154e-09
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
