hour,cea,ucea
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,7.107550762289273e-13,7.107550762289273e-13
8,1.1472880247860443e-05,8.633860004124569e-06
9,0.00021885326792052938,0.0001475291191897887
10,0.0002923546473374572,0.0002110264004536444
11,0.000337119945188981,0.0002530656196631783
12,0.000348215806798076,0.00026670942956308113
13,0.00032010435624381937,0.0002453843487575651
14,0.00025173425956571374,0.00019198108713134872
15,0.00015353291096869418,0.00011546574599894031
16,3.8158902902782064e-05,3.0316812063565185e-05
17,7.468333996217701e-07,1.430213018890826e-06
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
