area_id,building_name,status,validation_area_m2,ucea_roofs_top_m2,workflow0_roofs_top_m2,validation_radiation_kwh_year,ucea_radiation_kwh_year,workflow0_radiation_kwh_year,error_cea,error_cea_oven,workflow0_source_column,workflow0_timesteps,validation_point_count,residential_source,use_type1,use_type2,use_type3,resi_type,ucea_source_column,ucea_timesteps,ucea_oven_confidence_face_count,ucea_oven_confidence_mean,ucea_oven_confidence_area_weighted_mean,ucea_oven_confidence_min,ucea_oven_confidence_max
Alameda_Arro,B1002,matched,228.8279757,228.76,229.76,499972.2008,395295.94,397277.19,-0.205401442,-0.209364162,roofs_top_kW,8760,377,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,1,0.882947505,0.882947505,0.882947505,0.882947505
Alameda_Arro,B1003,matched,211.5702438,214.16,211.57,362266.2803,348095.8,348371.57,-0.038354964,-0.0391162,roofs_top_kW,8760,349,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.981148124,0.981187398,0.966003001,0.996293247
Alameda_Arro,B1004,matched,143.135464,143.09,145.07,166529.7871,121776.61,120520.33,-0.276283648,-0.268739772,roofs_top_kW,8760,234,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,1,0.998661399,0.998661399,0.998661399,0.998661399
Alameda_Arro,B1005,matched,919.0624945,920.99,920.99,2022555.653,1567436.9,1569574.47,-0.223964756,-0.225021622,roofs_top_kW,8760,1514,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alameda_Arro,B1006,matched,186.2006258,189.58,186.2,363419.5199,302449.63,320189.84,-0.118952554,-0.16776724,roofs_top_kW,8760,306,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,3,0.654335648,0.716355202,0.484220237,0.878693581
Alameda_Arro,B1007,matched,346.9364745,352.19,341.91,755905.9385,584173.69,577955.74,-0.235413151,-0.227187326,roofs_top_kW,8760,571,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.842904568,0.854223326,0.688857079,0.996952057
Alameda_Arro,B1008,matched,271.6610675,274.54,271.66,546808.7843,480828.74,469128.26,-0.142061588,-0.120663834,roofs_top_kW,8760,449,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,1,0.61207217,0.61207217,0.61207217,0.61207217
Alameda_Arro,B1011,matched,143.6631628,143.66,143.66,210873.3738,222730.39,222925.47,0.057153239,0.056228134,roofs_top_kW,8760,237,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alameda_Arro,B1013,matched,119.6511965,125.07,119.65,231779.4293,187429.87,207393.44,-0.105212052,-0.191343811,roofs_top_kW,8760,198,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,3,0.776153435,0.698804697,0.477322012,0.976827979
Alameda_Arro,B1014,matched,518.2413481,518.24,518.24,1193833.622,888095.55,888403.01,-0.255840183,-0.256097723,roofs_top_kW,8760,853,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alameda_Arro,B1019,matched,172.0886092,172.08,172.09,317941.0444,297871.4,298383.54,-0.06151299,-0.063123792,roofs_top_kW,8760,282,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,1,0.960667372,0.960667372,0.960667372,0.960667372
Alameda_Arro,B1020,matched,284.9829137,291.32,257.6,590183.3315,458780.26,427784.19,-0.275167279,-0.222647887,roofs_top_kW,8760,469,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.990431488,0.990782745,0.988849819,0.992013156
Alameda_Arro,B1022,matched,131.4391127,133.2,135.19,233009.4719,163108.45,167390.55,-0.281614826,-0.299992191,roofs_top_kW,8760,217,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.958687693,0.959681314,0.926489055,0.990886331
Alameda_Arro,B1023,matched,148.5350073,151.63,148.5,291682.1402,215718.07,218857.34,-0.249671784,-0.260434424,roofs_top_kW,8760,243,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.920784205,0.920918841,0.843092084,0.998476326
Alameda_Arro,B1025,matched,134.9901921,134.97,134.97,289659.9818,133798.48,148530.41,-0.487224956,-0.538084346,roofs_top_kW,8760,222,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alameda_Arro,B1028,matched,156.8793479,160.15,155.3,323700.6924,288017.03,260510.74,-0.195211051,-0.110236596,roofs_top_kW,8760,257,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.920784205,0.928680568,0.843092084,0.998476326
Alameda_Arro,B1029,matched,154.7115162,160.25,160.25,341352.8841,127960.24,132136.42,-0.612903754,-0.625137956,roofs_top_kW,8760,257,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,,,,,
Alameda_Arro,B1031,matched,247.7296739,253.77,245.86,575822.981,394337.38,392055.32,-0.319139158,-0.31517603,roofs_top_kW,8760,411,cea,MULTI_RES,NONE,NONE,,roofs_top_kW,8760,2,0.963480979,0.963193087,0.954825282,0.972136676
